id,portalId,createdAt,type
67642199,62515,2016-03-20,NOTE
67642214,62515,2016-03-20,NOTE
67667824,62515,2016-03-21,NOTE
67667844,62515,2016-03-21,NOTE
67668019,62515,2016-03-21,NOTE
67970877,62515,2016-06-08,EMAIL
67978148,62515,2016-03-22,NOTE
67978188,62515,2016-03-22,NOTE
68039292,62515,2016-06-08,EMAIL
68039297,62515,2016-06-08,EMAIL
68039302,62515,2016-06-08,EMAIL
68039307,62515,2016-06-08,EMAIL
68039312,62515,2016-06-08,EMAIL
68039322,62515,2016-06-08,EMAIL
68039327,62515,2016-06-08,EMAIL
68039332,62515,2016-06-08,EMAIL
68039337,62515,2016-06-08,EMAIL
68039392,62515,2016-06-08,EMAIL
68039397,62515,2016-06-08,EMAIL
68039652,62515,2016-06-08,EMAIL
68039657,62515,2016-06-08,EMAIL
68039662,62515,2016-06-08,EMAIL
68039667,62515,2016-06-08,EMAIL
68039672,62515,2016-06-08,EMAIL
68039677,62515,2016-06-08,EMAIL
68039682,62515,2016-06-08,EMAIL
68039687,62515,2016-06-08,EMAIL
68040292,62515,2016-06-08,EMAIL
68040297,62515,2016-06-08,EMAIL
68040302,62515,2016-06-08,EMAIL
68040307,62515,2016-06-08,EMAIL
68040312,62515,2016-06-08,EMAIL
68042902,62515,2016-06-08,EMAIL
68042907,62515,2016-06-08,EMAIL
68042912,62515,2016-06-08,EMAIL
68042917,62515,2016-06-08,EMAIL
68042922,62515,2016-06-08,EMAIL
68042927,62515,2016-06-08,EMAIL
68042932,62515,2016-06-08,EMAIL
68042942,62515,2016-06-08,EMAIL
68042947,62515,2016-06-08,EMAIL
68042952,62515,2016-06-08,EMAIL
68042957,62515,2016-06-08,EMAIL
68043507,62515,2016-06-08,EMAIL
68043517,62515,2016-06-08,EMAIL
68043522,62515,2016-06-08,EMAIL
68043527,62515,2016-06-08,EMAIL
68043532,62515,2016-06-08,EMAIL
68043537,62515,2016-06-08,EMAIL
68044082,62515,2016-06-08,EMAIL
68044087,62515,2016-06-08,EMAIL
68044497,62515,2016-06-08,EMAIL
68044507,62515,2016-06-08,EMAIL
68044512,62515,2016-06-08,EMAIL
68044517,62515,2016-06-08,EMAIL
68044522,62515,2016-06-08,EMAIL
68044527,62515,2016-06-08,EMAIL
68044532,62515,2016-06-08,EMAIL
68044537,62515,2016-06-08,EMAIL
68044542,62515,2016-06-08,EMAIL
68044547,62515,2016-06-08,EMAIL
68044552,62515,2016-06-08,EMAIL
68044557,62515,2016-06-08,EMAIL
68044932,62515,2016-06-08,EMAIL
68044937,62515,2016-06-08,EMAIL
68044942,62515,2016-06-08,EMAIL
68044947,62515,2016-06-08,EMAIL
68044952,62515,2016-06-08,EMAIL
68044957,62515,2016-06-08,EMAIL
68044967,62515,2016-06-08,EMAIL
68044972,62515,2016-06-08,EMAIL
68044977,62515,2016-06-08,EMAIL
68044982,62515,2016-06-08,EMAIL
68044992,62515,2016-06-08,EMAIL
68045002,62515,2016-06-08,EMAIL
68045007,62515,2016-06-08,EMAIL
68045012,62515,2016-06-08,EMAIL
68045097,62515,2016-06-08,EMAIL
68117014,62515,2016-03-22,NOTE
68119159,62515,2016-03-22,NOTE
68121249,62515,2016-03-22,NOTE
68122614,62515,2016-03-22,NOTE
68122654,62515,2016-03-22,NOTE
68123969,62515,2016-03-22,NOTE
68123989,62515,2016-03-22,NOTE
68123994,62515,2016-03-22,NOTE
68159006,62515,2016-05-10,NOTE
68398242,62515,2016-06-08,EMAIL
68398247,62515,2016-06-08,EMAIL
68398252,62515,2016-06-08,EMAIL
68398257,62515,2016-06-08,EMAIL
68398262,62515,2016-06-08,EMAIL
68398267,62515,2016-06-08,EMAIL
68398272,62515,2016-06-08,EMAIL
68398277,62515,2016-06-08,EMAIL
68398282,62515,2016-06-08,EMAIL
68399567,62515,2016-06-08,EMAIL
68399572,62515,2016-06-08,EMAIL
68399577,62515,2016-06-08,EMAIL
68399582,62515,2016-06-08,EMAIL
68399587,62515,2016-06-08,EMAIL
68400342,62515,2016-06-08,EMAIL
68400347,62515,2016-06-08,EMAIL
68400352,62515,2016-06-08,EMAIL
68400357,62515,2016-06-08,EMAIL
68400362,62515,2016-06-08,EMAIL
68400367,62515,2016-06-08,EMAIL
68400372,62515,2016-06-08,EMAIL
68400377,62515,2016-06-08,EMAIL
68400382,62515,2016-06-08,EMAIL
68400387,62515,2016-06-08,EMAIL
68400392,62515,2016-06-08,EMAIL
68400727,62515,2016-06-08,EMAIL
68400732,62515,2016-06-08,EMAIL
68400737,62515,2016-06-08,EMAIL
68400742,62515,2016-06-08,EMAIL
68400747,62515,2016-06-08,EMAIL
68400752,62515,2016-06-08,EMAIL
68401087,62515,2016-06-08,EMAIL
