createdAt,type,14DayAvg
2018-02-22,NOTE,11.8333
2018-02-22,TASK,18.0000
2018-02-23,CALL,10.6000
2018-02-23,NOTE,11.0000
2018-02-23,TASK,16.0000
2018-02-24,MEETING,1.0000
2018-02-27,TASK,21.1667
2018-02-28,TASK,19.0000
2018-03-01,NOTE,10.4000
2018-03-01,TASK,24.0000
2018-03-02,TASK,21.7500
2018-03-03,TASK,19.2500
2018-03-06,TASK,20.5000
2018-03-07,NOTE,6.7500
2018-03-07,PUBLISHING_TASK,2.0000
2018-03-07,TASK,19.1111
2018-03-08,TASK,14.5556
2018-03-09,TASK,15.0000
2018-03-10,TASK,14.7000
2018-03-12,CALL,1.0000
2018-03-12,TASK,14.0909
2018-03-13,EMAIL,1.0000
2018-03-13,NOTE,8.0000
2018-03-13,TASK,14.6364
2018-03-14,TASK,15.3636
2018-03-15,TASK,10.8182
2018-03-16,TASK,11.6364
2018-03-17,TASK,11.4545
2018-03-19,NOTE,8.0000
2018-03-19,PUBLISHING_TASK,1.5000
2018-03-20,TASK,9.4545
2018-03-21,CALL,1.0000
2018-03-22,CALL,1.0000
2018-03-24,CALL,1.0000
2018-03-24,NOTE,8.0000
2018-03-24,TASK,11.0000
2018-03-27,NOTE,9.0000
2018-03-27,TASK,12.5714
2018-03-28,CALL,1.0000
2018-03-28,NOTE,7.7500
2018-03-28,TASK,10.7143
2018-03-29,NOTE,7.0000
2018-03-29,TASK,12.0000
2018-03-30,NOTE,7.8333
2018-04-01,NOTE,6.8571
2018-04-02,NOTE,7.0000
2018-04-03,NOTE,6.2500
2018-04-03,TASK,14.6000
2018-04-04,NOTE,7.5556
2018-04-04,PUBLISHING_TASK,1.0000
2018-04-04,TASK,15.0000
2018-04-05,NOTE,9.7000
2018-04-05,TASK,21.2857
2018-04-06,TASK,20.8750
2018-04-07,TASK,19.8750
2018-04-09,NOTE,10.1000
2018-04-09,TASK,17.8889
2018-04-10,TASK,14.8889
